conversation_id,conversation_statistics_num_turns,conversation_statistics_num_user_turns,conversation_statistics_avg_user_tokens,conversation_statistics_avg_assistant_tokens,conversation_statistics_conversation_lenght_tokens,semantic_coherence_conversation_score,semantic_coherence_semantic_std,semantic_coherence_semantic_min,semantic_coherence_semantic_max,semantic_coherence_semantic_path_lenght,referential_density_references,referential_density_tokens,referential_density_score,topic_continuity_num_topics,topic_continuity_topic_labels,topic_continuity_average_cosine_similarity,topic_continuity_topic_entropy,topic_continuity_topic_switches,topic_continuity_topic_switches_rate,intent_diversity_question_count,intent_diversity_imperative_count,intent_diversity_request_type_entropy,intent_diversity_request_type_distribution_follow_up,intent_diversity_request_type_distribution_question,intent_diversity_request_type_distribution_other,intent_diversity_request_type_distribution_instruction
b20d776681854933b75cd855250ebd3a,10,5,124.6,279.6,2021,0.77269620301797,0.3319647043702191,0.1984886834430092,0.9901523072563312,0.90921518792812,169,2021,0.0836219693221177,2,"[1, 0, 0, 0, 0]",0.77269620301797,0.7219280948873623,1,0.25,0,0,0.0,5.0,,,
b0db7a328a5345e69cdb1c0dc04ebaae,38,19,33.78947368421053,161.73684210526315,3715,0.3310507020394758,0.2891405147689538,-0.0550933598025555,1.0000000000000002,12.041087363289437,141,3715,0.0379542395693136,3,"[2, 2, 2, 2, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",0.3310507020394758,1.3235315761100483,6,0.3333333333333333,12,2,1.3727069617019707,1.0,12.0,5.0,1.0
98c5ec5d7ad0427b938faf1e7bb12020,14,7,23.714285714285715,157.71428571428572,1270,0.2713210712644609,0.2716223349300359,-0.0271078454520384,0.7820255817634028,4.3720735724132345,58,1269,0.0457052797478329,2,"[0, 0, 0, 0, 0, 1, 1]",0.2713210712644609,0.8631205685666311,1,0.1666666666666666,4,0,0.9852281360342516,,4.0,3.0,
c38c5e5429ff43fb89273ab23bf01284,10,5,30.2,41.6,359,0.7713882226204719,0.1347979334722677,0.5506709861352771,0.9019054867172728,0.9144471095181124,26,359,0.0724233983286908,2,"[0, 0, 0, 0, 1]",0.7713882226204719,0.7219280948873623,1,0.25,3,0,0.9709505944546688,,3.0,2.0,
2f60767c8cfd4e089196630743d3e8d3,10,5,26.0,285.8,1559,0.6649432916503125,0.2595420837823607,0.2268234878734482,0.8770126553466608,1.34022683339875,130,1559,0.0833867864015394,2,"[0, 0, 0, 0, 1]",0.6649432916503125,0.7219280948873623,1,0.25,5,0,0.0,,5.0,,
a4f51376ba59499d9404e7462437f8a1,30,15,47.06666666666667,154.86666666666667,3029,0.2369400658652895,0.1835642270094716,-0.0086989558433345,0.5283000365784722,10.682839077885944,89,3029,0.0293826345328491,3,"[2, 0, 2, 2, 2, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1]",0.2369400658652895,1.584962500721156,9,0.6428571428571429,9,0,0.9709505944546688,,9.0,6.0,
0906a2143aad4d4281014ea940684ab6,28,14,22.928571428571427,31.428571428571427,761,0.2508116739476999,0.1077772906820833,0.0117919510069041,0.4320754722947996,9.7394482386799,9,759,0.0118577075098814,3,"[1, 0, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 0, 1]",0.2508116739476999,1.556656707462823,9,0.6923076923076923,6,0,0.9852281360342516,,6.0,8.0,
241ae40f56e74a2b9ec705eca74aca6e,20,10,24.1,23.0,471,0.1318847495918589,0.1034267497868485,0.0115411935855711,0.3585483940911863,7.813037253673269,9,470,0.0191489361702127,2,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.1318847495918589,1.0,4,0.4444444444444444,4,3,1.570950594454669,,4.0,3.0,3.0
63a557a646034b5d8e6971aa42580d38,10,5,13.4,93.0,532,0.4812197841760809,0.0861292829478677,0.3677159248047176,0.6024685283683502,2.0751208632956764,36,532,0.0676691729323308,2,"[0, 0, 0, 1, 1]",0.4812197841760809,0.9709505944546688,1,0.25,1,2,1.5219280948873626,2.0,,2.0,1.0
042d47941d9d4efd8edb1976ac51f39b,26,13,17.384615384615383,50.53846153846154,883,0.236405556152137,0.1757453364837028,0.0294754703789803,0.6808404550404956,9.163133326174355,14,882,0.0158730158730158,3,"[2, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0.236405556152137,1.4572659136233872,6,0.5,7,0,1.2957378005380122,5.0,1.0,,7.0
